Species,Time,Termi.assum,Forest
Castanopsis_mekongensis,18mo,0,Mature_forest
Litsea_cubeba,18mo,0,Mature_forest
Castanopsis_mekongensis,36mo,0,Mature_forest
Litsea_cubeba,36mo,0,Mature_forest
Castanopsis_mekongensis,18mo,1,Mature_forest
Litsea_cubeba,18mo,1,Mature_forest
Castanopsis_mekongensis,36mo,1,Mature_forest
Litsea_cubeba,36mo,1,Mature_forest
Castanopsis_mekongensis,18mo,0,Open_land
Litsea_cubeba,18mo,0,Open_land
Castanopsis_mekongensis,36mo,0,Open_land
Litsea_cubeba,36mo,0,Open_land
Castanopsis_mekongensis,18mo,1,Open_land
Litsea_cubeba,18mo,1,Open_land
Castanopsis_mekongensis,36mo,1,Open_land
Litsea_cubeba,36mo,1,Open_land
Castanopsis_mekongensis,18mo,0,Regenerating_forest
Litsea_cubeba,18mo,0,Regenerating_forest
Castanopsis_mekongensis,36mo,0,Regenerating_forest
Litsea_cubeba,36mo,0,Regenerating_forest
Castanopsis_mekongensis,18mo,1,Regenerating_forest
Litsea_cubeba,18mo,1,Regenerating_forest
Castanopsis_mekongensis,36mo,1,Regenerating_forest
Litsea_cubeba,36mo,1,Regenerating_forest
